N, WxH, Clock, Param0, Param1, Param2
5, 96x96, 2320342, 30.0, 1.0, 0.1
5, 96x96, 898336, 30.0, 1.0, 0.1
5, 96x96, 1265050, 30.0, 1.0, 0.1
5, 96x96, 963524, 30.0, 1.0, 0.1
5, 96x96, 1285568, 30.0, 1.0, 0.1
5, 96x96, 897870, 30.0, 1.0, 0.1
5, 96x96, 898627, 30.0, 1.0, 0.1
5, 96x96, 960285, 30.0, 1.0, 0.1
5, 96x96, 1637575, 30.0, 1.0, 0.1
5, 96x96, 1592095, 30.0, 1.0, 0.1
6, 112x112, 1657524, 30.0, 1.0, 0.1
6, 112x112, 1296306, 30.0, 1.0, 0.1
6, 112x112, 1325036, 30.0, 1.0, 0.1
6, 112x112, 1309933, 30.0, 1.0, 0.1
6, 112x112, 1222166, 30.0, 1.0, 0.1
6, 112x112, 1270792, 30.0, 1.0, 0.1
6, 112x112, 1742288, 30.0, 1.0, 0.1
6, 112x112, 1313741, 30.0, 1.0, 0.1
6, 112x112, 1222646, 30.0, 1.0, 0.1
6, 112x112, 1839097, 30.0, 1.0, 0.1
7, 128x128, 1760199, 30.0, 1.0, 0.1
7, 128x128, 3670038, 30.0, 1.0, 0.1
7, 128x128, 1813058, 30.0, 1.0, 0.1
7, 128x128, 1705703, 30.0, 1.0, 0.1
7, 128x128, 2374926, 30.0, 1.0, 0.1
7, 128x128, 1883681, 30.0, 1.0, 0.1
7, 128x128, 2261746, 30.0, 1.0, 0.1
7, 128x128, 1855100, 30.0, 1.0, 0.1
7, 128x128, 3002856, 30.0, 1.0, 0.1
7, 128x128, 1595333, 30.0, 1.0, 0.1
8, 144x144, 2455114, 30.0, 1.0, 0.1
8, 144x144, 2160333, 30.0, 1.0, 0.1
8, 144x144, 2083178, 30.0, 1.0, 0.1
8, 144x144, 2074374, 30.0, 1.0, 0.1
8, 144x144, 3326440, 30.0, 1.0, 0.1
8, 144x144, 2744964, 30.0, 1.0, 0.1
8, 144x144, 3798555, 30.0, 1.0, 0.1
8, 144x144, 2627872, 30.0, 1.0, 0.1
8, 144x144, 3651082, 30.0, 1.0, 0.1
8, 144x144, 2098655, 30.0, 1.0, 0.1
9, 160x160, 3261409, 30.0, 1.0, 0.1
9, 160x160, 3392228, 30.0, 1.0, 0.1
9, 160x160, 2493633, 30.0, 1.0, 0.1
9, 160x160, 5419190, 30.0, 1.0, 0.1
9, 160x160, 2629563, 30.0, 1.0, 0.1
9, 160x160, 2665848, 30.0, 1.0, 0.1
9, 160x160, 2665630, 30.0, 1.0, 0.1
9, 160x160, 3396306, 30.0, 1.0, 0.1
9, 160x160, 2493843, 30.0, 1.0, 0.1
9, 160x160, 2570993, 30.0, 1.0, 0.1
10, 176x176, 3838113, 30.0, 1.0, 0.1
10, 176x176, 3968617, 30.0, 1.0, 0.1
10, 176x176, 3250028, 30.0, 1.0, 0.1
10, 176x176, 3555163, 30.0, 1.0, 0.1
10, 176x176, 4240207, 30.0, 1.0, 0.1
10, 176x176, 3295284, 30.0, 1.0, 0.1
